Vendor,Total Appearances,Rows with Duplicates,Duplicate Row Numbers
Foursquare,1174,281,"2, 3, 8, 11, 12, 13, 16, 18, 19, 23, 24, 25, 26, 30, 32, 33, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 54, 56, 57, 59, 60, 61, 63, 64, 65, 66, 70, 74, 78, 81, 82, 83, 84, 87, 88, 89, 91, 92, 94, 97, 98, 101, 103, 104, 105, 106, 108, 109, 111, 116, 117, 118, 119, 120, 126, 127, 128, 130, 133, 134, 135, 137, 139, 142, 143, 145, 146, 148, 151, 153, 156, 158, 161, 162, 167, 168, 170, 172, 176, 177, 181, 185, 187, 188, 201, 202, 203, 205, 207, 208, 211, 213, 214, 215, 218, 219, 224, 225, 226, 230, 231, 235, 237, 242, 244, 252, 253, 255, 257, 261, 262, 263, 266, 267, 268, 269, 274, 275, 280, 282, 283, 285, 291, 297, 301, 304, 307, 308, 311, 318, 322, 325, 331, 336, 339, 344, 346, 347, 354, 359, 360, 361, 362, 367, 368, 370, 378, 379, 380, 381, 384, 396, 399, 400, 401, 403, 409, 413, 420, 425, 427, 431, 433, 435, 446, 450, 451, 459, 460, 462, 467, 469, 480, 487, 492, 500, 503, 504, 510, 516, 518, 524, 530, 533, 543, 550, 554, 556, 557, 558, 562, 566, 572, 574, 576, 586, 587, 593, 599, 603, 609, 616, 620, 622, 624, 626, 627, 631, 632, 637, 644, 654, 660, 663, 667, 676, 677, 678, 682, 684, 685, 688, 701, 702, 706, 707, 717, 719, 721, 743, 749, 751, 752, 758, 759, 761, 765, 778, 791, 793, 808, 809, 820, 821, 823, 824, 825, 833, 838, 845, 871, 893, 902, 905, 928, 971, 974, 985, 1026, 1040, 1057, 1067, 1073, 1093, 1095, 1103, 1126, 1148, 1177, 1257"
Trip Advisor,1049,88,"2, 3, 7, 10, 24, 25, 34, 41, 42, 43, 45, 47, 50, 51, 57, 61, 65, 69, 70, 72, 73, 75, 77, 80, 89, 98, 100, 101, 106, 111, 119, 125, 151, 158, 166, 175, 177, 181, 200, 201, 209, 237, 239, 245, 248, 252, 255, 263, 269, 293, 321, 324, 335, 338, 351, 353, 354, 355, 374, 396, 453, 460, 502, 575, 576, 595, 658, 684, 703, 705, 710, 716, 722, 730, 734, 747, 766, 801, 807, 817, 821, 851, 897, 903, 937, 949, 1152, 1196"
DataPlor,741,124,"5, 6, 9, 11, 13, 14, 17, 18, 19, 23, 43, 45, 48, 64, 83, 88, 94, 106, 112, 119, 127, 129, 149, 154, 160, 168, 172, 199, 200, 201, 221, 239, 241, 247, 269, 270, 271, 294, 295, 319, 321, 323, 324, 338, 343, 374, 375, 378, 386, 419, 423, 424, 430, 449, 451, 453, 488, 512, 522, 525, 528, 529, 546, 558, 562, 574, 579, 581, 593, 596, 612, 617, 618, 622, 631, 632, 636, 637, 643, 660, 677, 680, 687, 707, 710, 711, 714, 723, 731, 743, 753, 754, 765, 777, 778, 796, 833, 902, 905, 914, 926, 941, 961, 964, 980, 985, 1002, 1006, 1034, 1063, 1065, 1067, 1077, 1093, 1095, 1111, 1133, 1138, 1143, 1148, 1177, 1206, 1207, 1243"
Yelp,659,84,"10, 13, 16, 25, 26, 30, 35, 40, 45, 47, 54, 61, 64, 65, 72, 78, 84, 100, 117, 121, 123, 127, 132, 136, 139, 148, 156, 162, 166, 176, 194, 196, 200, 201, 203, 204, 218, 233, 234, 237, 239, 240, 247, 251, 271, 274, 276, 280, 287, 290, 316, 318, 321, 322, 337, 344, 352, 359, 360, 374, 409, 415, 421, 425, 426, 430, 432, 435, 437, 441, 474, 486, 553, 576, 605, 610, 624, 677, 874, 946, 968, 971, 980, 1240"
Foursquare V2,617,100,"3, 8, 25, 26, 30, 37, 39, 40, 44, 56, 61, 63, 65, 74, 83, 84, 89, 91, 97, 98, 104, 116, 130, 137, 145, 146, 148, 151, 168, 172, 177, 181, 187, 202, 207, 218, 224, 237, 252, 274, 291, 318, 322, 331, 347, 359, 367, 378, 381, 396, 400, 413, 431, 446, 500, 510, 533, 554, 556, 558, 574, 587, 616, 620, 624, 631, 654, 660, 663, 667, 684, 685, 701, 702, 706, 717, 719, 721, 751, 752, 758, 761, 778, 820, 821, 823, 825, 833, 905, 928, 971, 974, 985, 1026, 1067, 1095, 1126, 1148, 1177, 1257"
Wcities,571,57,"3, 12, 19, 25, 31, 41, 42, 43, 48, 61, 74, 78, 95, 97, 98, 103, 104, 119, 126, 133, 151, 152, 154, 159, 170, 181, 183, 200, 208, 215, 220, 247, 278, 288, 302, 321, 335, 341, 346, 360, 380, 415, 423, 427, 432, 472, 481, 517, 530, 543, 572, 578, 631, 655, 658, 718, 975"
Factual,417,5,"123, 152, 612, 616, 904"
Wikipedia,381,9,"19, 25, 139, 268, 415, 435, 453, 575, 854"
Siri - Knowledge Graph,350,10,"120, 177, 275, 294, 405, 415, 687, 855, 861, 1121"
KittyHawk,308,10,"19, 41, 98, 119, 181, 237, 247, 259, 426, 644"
Infobel,238,50,"3, 30, 33, 58, 61, 65, 67, 78, 81, 82, 86, 91, 138, 165, 177, 187, 212, 218, 224, 247, 274, 282, 303, 322, 346, 355, 361, 481, 483, 503, 515, 587, 624, 654, 669, 702, 721, 748, 751, 772, 787, 817, 821, 877, 888, 894, 905, 928, 986, 1049"
POI Augmentation,204,40,"2, 38, 54, 63, 107, 151, 159, 181, 195, 219, 242, 261, 276, 294, 316, 343, 344, 354, 362, 384, 414, 459, 465, 470, 477, 492, 548, 561, 572, 595, 612, 636, 663, 691, 819, 836, 968, 980, 1120, 1187"
Find A Grave,130,0,
Pages Jaunes,117,13,"8, 24, 41, 89, 113, 117, 142, 153, 302, 426, 539, 813, 974"
OpenStreetMap,103,6,"171, 254, 576, 677, 679, 738"
Direct,93,1,153
Getty,81,11,"47, 114, 201, 278, 280, 314, 453, 455, 548, 806, 1118"
Das Oertliche,74,15,"500, 527, 595, 641, 676, 691, 823, 845, 855, 872, 998, 1002, 1008, 1084, 1170"
IPC,73,27,"10, 15, 21, 34, 49, 52, 53, 62, 68, 73, 76, 80, 85, 96, 109, 115, 125, 166, 220, 260, 298, 306, 310, 317, 350, 364, 634"
DataCentric,55,12,"55, 100, 112, 229, 233, 245, 280, 285, 389, 437, 507, 1034"
Shazam,49,0,
Jalan,47,5,"109, 144, 164, 166, 897"
MapFan Directory,43,6,"76, 80, 96, 125, 166, 364"
KingwayTek,41,1,969
2GIS,40,2,"511, 802"
Localeze,34,4,"104, 107, 257, 776"
Market Location,33,2,"63, 617"
GetYourGuide,31,0,
Chunghwa,31,6,"258, 338, 519, 525, 618, 964"
Yext,29,1,378
Apontador,29,3,"632, 660, 1112"
Apontador V2,29,3,"632, 660, 1112"
InfoPortugal,29,5,"42, 135, 269, 734, 1093"
MCH Data,29,0,
Factual.com,28,0,
IPC MapFan,26,0,
Tiqets,22,1,19
PottersTech,19,0,
Ordnance Survey,17,2,"434, 1013"
MapKing,16,4,"122, 157, 449, 488"
MapmyIndia,15,1,1136
TeleListas,14,3,"660, 1067, 1233"
Yell UK,12,1,616
Yellow Medya,10,1,111
JustDial,9,1,238
BasarSoft,9,2,"5, 31"
TNet,8,0,
Deduce Technologies,7,0,
Der Herold,7,1,232
Apple Business Register,6,0,
Yellow Pages Group,4,1,957
Neustar Localeze,4,0,
Teikoku Data Bank,4,0,
Ctrip,3,0,
Local Knowledge,3,1,424
GlobeTech Thailand,3,0,
Pages Jaunes Direct,3,0,
POI Science,3,0,
Uberall,3,0,
MAPA,2,1,646
Directel Macau,2,0,
Tabelog,2,0,
DTG,2,0,
1st Media,2,0,
Italia Online,2,0,
MapIT,2,0,
Vietmap,1,0,
1881 Norway,1,0,
USGS,1,0,
Park Serve,1,0,
National Park Service,1,0,
MapKing Buildings,1,0,
MapCity,1,0,
Library Technologies,1,0,
Goldenpages IE,1,0,
Fonecta,1,0,
DestinyCS,1,0,
ifoodie,1,0,
